identifier,remarks,default,ru
PKC_GoldSoul_Desc,Codex,"Gold Soul is a special soul that \cQrestores your HP to 100\c[PKWhiteText]. It can't be dropped by enemies, only found on the map.","Золотая душа -- это особая душа, которая \cQвосполняет здоровье до 100 ед.\c[PKWhiteText] Она не остается после врагов, ее можно только найти на уровне."
PKC_MegaSoul_Desc,Codex,"Mega Soul is a special soul that \cQrestores your HP to 200\c[PKWhiteText] and gives you \cN200 armor\c[PKWhiteText]. It can't be dropped by enemies, only found on the map.","Огромная душа -- это особая душа, которая \cQвосполняет здоровье до 200 ед.\c[PKWhiteText] и дает \cN200 ед. брони\c[PKWhiteText]. Она не остается после врагов, ее можно только найти на уровне."
PKC_Armor_Desc,Codex,"You can find 3 types of armor in Painslayer: 

\cEBronze armor\c[PKWhiteText] provides \cN100 points of armor\c[PKWhiteText] and absorbs 33.3% of incoming damage. 

\cZSilver armor\c[PKWhiteText] provides \cN150 points of armor\c[PKWhiteText] and absorbs 60% of incoming damage. 

\c[PKGoldText]Gold armor\c[PKWhiteText] provides \cN200 points of armor\c[PKWhiteText] and absorbs 80% of incoming damage.","В Painslayer можно найти 3 типа доспехов:

\cEБронзовый доспех\c[PKWhiteText] дает \cN100 ед. брони\c[PKWhiteText] и поглощает 33,3% входящего урона.

\cZСеребряный доспех\c[PKWhiteText] дает \cN150 ед. брони\c[PKWhiteText] и поглощает 60% входящего урона.

\c[PKGoldText]Золотой доспех\c[PKWhiteText] дает \cN200 ед. брони\c[PKWhiteText] и поглощает 80% входящего урона."
PKC_AmmoPack_Desc,Codex,Ammo Pack is a rare pickup that provides a lot of ammo for all weapons.,"Ящик патронов -- это редкий предмет, который дает много патронов для всех видов оружия."
PKC_WeaponModifier_Desc,Codex,"Weapon Modifier empowers all your weapons for 30 seconds. The effects of the Weapon Modifier are unique for each weapon: you can find all the details about its effects on the \c[PKGreenText]WEAPONS tab\c[PKWhiteText]. 

When on the WEAPONS tab, click the \c[PKGreenText]Weapon Modifier icon\c[PKWhiteText] to see the information about how it affects specific weapon attacks. 

Weapon Modifier only affects primary and secondary attacks, not combo attacks. 

Weapon Modifier also \cQheals you to 100 HP\c[PKWhiteText] when you pick it up.","Модификатор оружия усиливает всё оружие на 30 секунд. Эффект для каждого оружия свой -- подробности вы найдете на вкладке \c[PKGreenText]ОРУЖИЕ\c[PKWhiteText].

Открыв вкладку ОРУЖИЕ, щелкните по \c[PKGreenText]значку модификатора оружия\c[PKWhiteText], чтобы увидеть, как он изменяет характеристики оружия.

Модификатор оружия влияет только на основную и вторичную атаку, но не на комбо-атаку.

Также, когда вы подбираете модификатор оружия, ваше здоровье восполняется до \cQ100 ед.\c[PKWhiteText]"
PKC_DemonEyes_Desc,Codex,"Demon Eyes is a power-up that slightly illuminates the surroundings and makes your eyes glow intensely. It also gives you fear vision: enemies caught in the glow become frightened and will try to move away from you.

Intimidated enemies are marked with an eye icon above them.

Bosses can't be intimidated.","Глаза Демона -- это усилитель, который временно улучшает видимость окружения, а также заставляет ваши глаза ярко светиться. Этот свечение устрашает врагов, попавших в его область, заставляя их отступать.

Испуганные враги отмечаются значком глаза.

Боссы невосприимчивы к устрашению."
PKC_Pentagram_Desc,Codex,The Pentagram makes you invincible to all damage for a limited time.,Пентаграмма дает временную неуязвимость ко всем видам урона.
PKC_AntiRad_Desc,Codex,"Protection suit shields you from acid, lava and other harmful surfaces, and also lets you breathe underwater for a limited time.","Защитный костюм временно защищает от кислоты, лавы и других опасных поверхностей, а также позволяет дышать под водой."
PKC_CrystalBall_Desc,Codex,"Crystal Ball is a special item that provides you a full map of the current level, and also highlights weapon pickups and keys on it.","Хрустальный шар открывает полную карту текущего уровня, а также помечает на ней местоположения оружия и ключей."
PKC_TAROTBOARD,Codex,Black Tarot Board,Доска Чёрного Таро
PKC_CARDTYPES,Codex,Black Tarot Cards,Карты Чёрного Таро
PKC_GOLDTYPES,Codex,Gold pickups,Золотые предметы
PKC_GOLDOBTAIN,Codex,Obtaining gold,Как получить золото
PKC_TAROTBOARD_DESC,Codex,"Once a map you can open the Black Tarot Board and equip Black Tarot cards that provide various benefits. 

By default, the Board opens automatically at map start. Using \c[PKGreenText]Mod Settings\c[PKWhiteText], you can change this behavior to open the board manually by pressing the \c[PKGreenText]Open Black Tarot (%s)\c[PKWhiteText] button. 

Once you close the Board, the active card slots become locked. To equip new cards, you have to finish the current level. Alternatively, you can also unlock the slots with \c[PKGoldText]Gold\c[PKWhiteText].","Один раз за уровень вы можете открыть доску Чёрного Таро и на ней снарядить карты Чёрного Таро, которые дают разные бонусы.

По умолчанию доска открывается автоматически в начале уровня. Это можно отключить в \c[PKGreenText]Настройках мода\c[PKWhiteText]: тогда вы сможете открывать доску вручную, нажимая кнопку \c[PKGreenText]Открыть доску Таро (%s)\c[PKWhiteText].

При закрытии доски ячейки карт блокируются. Чтобы снарядить другие карты, вам придется завершить текущий уровень, либо разблокировать ячейки, заплатив \c[PKGoldText]золото\c[PKWhiteText]."
PKC_CARDTYPES_DESC,Codex,"There are two types of Black Tarot Cards: Silver Cards and Golden Cards. 

\cZSilver Cards\c[PKWhiteText] provide passive bonuses and are active all the time while equipped. You can equip up to \c[PKGreenText]2\c[PKWhiteText] Silver Cards. 

\c[PKGoldText]Golden Cards\c[PKWhiteText] have to be activated manually by pressing the \c[PKGreenText]Use Golden Cards (%s)\c[PKWhiteText] button. Golden Cards can be activated once per level (the \cZForgiveness\c[PKWhiteText] card increases that number to two). You can equip up to \c[PKGreenText]3\c[PKWhiteText] Golden Cards. 

By default, you will receive 2 random Silver Cards and 3 random Golden Cards as a gift the first time you open the Black Tarot Board in a new game. You can change this behavior using \c[PKGreenText]Mod Settings > Allow free starting cards\c[PKWhiteText] option.","Существует два типа карт Чёрного Таро: серебряные и золотые.

\cZСеребряные карты\c[PKWhiteText] дают пассивные бонусы, которые активны всё время. У вас может быть активно до \c[PKGreenText]2\c[PKWhiteText] таких карт одновременно.

\c[PKGoldText]Золотые карты\c[PKWhiteText] нужно активировать вручную, нажав кнопку \c[PKGreenText]Использовать золотые карты (%s)\c[PKWhiteText]. Золотые карты можно использовать один раз за уровень (карта \cZПрощение\c[PKWhiteText] увеличивает число активаций до двух). Вы можете снарядить до \c[PKGreenText]3\c[PKWhiteText] золотых карт.

По умолчанию вы получаете в подарок случайные карты (2 серебряных и 3 золотых) при первом открытии доски. Это можно отключить: см. \c[PKGreenText]Настройки мода > Дарить несколько карт\c[PKWhiteText]."
PKC_GOLDTYPES_DESC,Codex,"Gold is used to purchase Silver and Golden Cards on the Black Tarot Board. 

Gold comes in 4 varieties:
- Small (\c[PKGoldText]+10G\c[PKWhiteText])
- Medium (\c[PKGoldText]+25G\c[PKWhiteText])
- Large (\c[PKGoldText]+100G\c[PKWhiteText])
- Very Large (\c[PKGoldText]+500G\c[PKWhiteText]) 

Gold can be found in secret areas or obtained from enemies. See \c[PKGreenText]Obtaining Gold\c[PKWhiteText] tab for details.","Золото позволяет покупать серебряные и золотые карты на доске Чёрного Таро.

Золотые предметы бывают 4 видов:
- маленькие (\c[PKGoldText]+10 з.\c[PKWhiteText])
- средние (\c[PKGoldText]+25 з.\c[PKWhiteText])
- большие (\c[PKGoldText]+100 з.\c[PKWhiteText])
- очень большие (\c[PKGoldText]+500 з.\c[PKWhiteText])

Золото можно найти в секретных областях на уровне или получить из врагов. См. вкладку \c[PKGreenText]Как получить золото\c[PKWhiteText] для подробностей."
PKC_GOLDOBTAIN_DESC,Codex,"There are several ways to acquire gold: 

- Gold will spawn in \c[PKGreenText]secret areas\c[PKWhiteText] on any maps you play. Look for them to obtain the largest gold pickups.

- You will occasionally find \cEwooden chests\c[PKWhiteText] on the map. They contain gold; destroy them to get it.

- Dealing \c[PKRedText]excessive damage \c[PKWhiteText]to enemies, such as blowing up/gibbing weaker enemies. This makes them drop coins. 

- \cIJuggling enemy corpses with Killer\c[PKWhiteText]: before a corpse disappears, simply shoot at it with the Killer. This prevents the corpse from despawning and will push it upwards and closer to you. Keep doing it to juggle the corpse; every 3rd juggle produces a medium gold piece.","Получить золото можно несколькими способами:

- Золото появляется в \c[PKGreenText]секретных областях\c[PKWhiteText] на любых уровнях. Именно в них вы найдете большие и очень большие золотые предметы.

- На уровне можно найти \cEдеревянные сундуки\c[PKWhiteText]. Уничтожьте их, чтобы получить золото.

- Нанося \c[PKRedText]избыточный урон врагам\c[PKWhiteText] (например, взрывая слабых врагов) -- это заставляет их ронять монеты.

- Многократно \cIпритягивая трупы врагов с помощью Killer\c[PKWhiteText]. Выстрелите в труп, пока он не исчез: тогда он не испарится, а Killer толкнет его вверх и в вашу сторону. Повторяйте это действие, и каждое третье притягивание выбьет из тела золото."
PKC_NEWENTRY,Codex,Codex (%s) updated:,Обновление Кодекса (%s)
PKM_TITLE,Menu,Painslayer Settings,Настройки Painslayer
PKM_TITLE_SHORT,Menu,Mod Settings,Настройки мода
PKM_SUB_CONTROLS,Menu,CONTROLS,УПРАВЛЕНИЕ
PKM_SUB_GAMEPLAY,Menu,GAMEPLAY,ИГРОВОЙ ПРОЦЕСС
PKM_SUB_HUD,Menu,HUD,ИНТЕРФЕЙС
PKM_PKMovement,Menu,Painkiller movement physics,Физика движения из Painkiller
PKM_PKMovement_Desc,Menu,"Enables Painkiller movement instead of Doom movement. This involves different friction, momentum and jumping. Doesn't work with custom player classes.","Включить физику перемещения в стиле Painkiller вместо Doom. Эта настройка влияет на трение, ускорение и прыжки. Не работает с нестандартными классами игрока."
PKM_PKMAutoJump,Menu,Allow auto-jumping,Разрешить автопрыжок
PKM_PKMAutoJump_Desc,Menu,"By default, when using Painkiller movement, you have to press 'jump' every time you want to jump. If you enable this option, you will be able to jump continuously by holding 'jump', like in Doom.","По умолчанию при использовании физики движения из Painkiller нужно нажимать клавишу прыжка всякий раз, когда вы хотите прыгнуть. Включение этой настройки позволяет прыгать постоянно, просто зажав клавишу прыжка -- как в Doom."
PKM_ALLOWDEMON,Menu,Allow Demon Mode,Разрешить превращение в демона
PKM_ALLOWDEMON_DESC,Menu,"By default, upon collecting 66 souls you will turn into Demon. This option lets you completely disable that feature.","По умолчанию, собрав 66 душ, вы превращаетесь в демона. Эта настройка позволяет полностью отключить такую возможность."
PKM_QOLCATCHER,Menu,Auto-attract souls/gold distance,Дистанция автопритягивания золота/душ
PKM_QOLCATCHER_Desc,Menu,"A quality-of-life feature: attracts souls/gold from a distance. Works the same way as the Soul Catcher card, except the maximum distance is smaller.","Эта функция позволяет облегчить подбирание душ и золота, притягивая их. Работает так же, как карта \""Ловец душ\"", только максимальная дистанция притягивания меньше."
PKM_GIFTCARRDS,Menu,Allow free starting cards,Дарить несколько карт
PKM_GIFTCARRDS_DESC,Menu,"By default, when you open Black Tarot board for the first time, you will receive a few cards for free. Disabling this option will stop that from happening.","По умолчанию, когда вы открываете доску Таро в первый раз, вы получаете несколько карт в подарок. Если отключить эту настройку, вы не будете получать бесплатных карт."
PKM_ShowCodexNotifs,Menu,Show Codex Notifications,Показывать оповещения Кодекса
PKM_ShowCodexNotifs_Desc,Menu,Show notifications for Codex updates in the top right corner after you pick up a new item for the first time.,"Показывать оповещения об обновлении Кодекса в верхнем правом углу экрана, когда вы впервые подбираете новый предмет."
PKM_ShowCardsInHUD,Menu,Show Equipped Cards in the HUD,Показывать используемые карты в интерфейсе
PKM_ShowCardsInHUD_Desc,Menu,Show icons of the currently equipped Black Tarot cards in the top-left corner of the HUD. Disable this if they seem to add clutter.,"Показывать используемые карты Чёрного Таро в верхем левом углу интерфейса. Эту функцию можно отключить, если вы предпочитаете более чистый интерфейс."
PKM_KeepBodies,Menu,Keep dead bodies,Сохранять трупы врагов
PKM_KeepBodies_Desc,Menu,"Keep enemy corpses after they poof in smoke and leave a soul. This option will let them be resurrected by Arch-Viles. Note, after poofing it still won't be possible to juggle the corpses with the Killer projectile.","Отключает исчезнование трупов, после того как они оставили за собой душу. Это позволит Арч-Вайлам воскресить этих врагов. Учтите, после появления души труп все равно нельзя будет подцепить с помощью снаряда Killer."
PKM_MapStartSound,,Painkiller map start effects,Звук и анимация начала уровня из Painkiller
PKM_MapStartSound_Desc,,Enable original Painkiller map-start sound and fade-in.,"Проигрывать звук и проявление картинки из затенения в начале уровня, как в оригинальном Painkiller."
PKM_OpenTarot,Menu,Open Black Tarot,Открыть доску Таро
PKM_OpenTarot_Desc,Menu,Black Tarot Board lets you purchase and equip cards,На доске Чёрного Таро можно покупать и снаряжать карты
PKM_UseCards,Menu,Use Golden Cards,Использовать золотые карты
PKM_UseCards_Desc,Menu,Activate currently equipped Golden Tarot Cards,Активировать снаряженные золотые карты Таро
PKM_LastWeapon,Menu,Quick weapon switch,Быстрая смена оружия
PKM_LastWeapon_Desc,Menu,Switch to the previous weapon,"Выбрать оружие, которое вы использовали до этого"
PKM_OpenCodex,Menu,Open Codex,Открыть Кодекс
PKM_OpenCodex_Desc,Menu,"The Codex contains useful information about weapons, items and various in-game mechanics.","В кодексе можно узнать полезную информацию об оружии, предметах и различных механиках."
PKM_AutoOpenTarot,Menu,Open Black Tarot board at map start,Открывать доску Таро в начале уровня
PKM_AutoOpenTarot_Desc,Menu,"When you open Black Tarot board for the first time in a map, you can equip cards for free (after that they'll be locked). By default, this happens at map start. This option allows you to change that behavior.","Когда вы первый раз открываете доску Таро на уровне, вы можете покупать и снаряжать карты бесплатно (затем ячейки блокируются). По умолчанию доска открывается в начале уровня автоматически. Эта настройка позволяет изменить это."
PKM_Sub_Performance,Menu,VISUALS,ВИЗУАЛ
PKM_ParticlesAmount,Menu,Particle intensity,Интенсивность частиц
PKM_ParticlesAmount_Desc,Menu,Controls visual particles spawned projectiles and puffs. At 'Reduced' some of the more visually intense particles don't spawn.,"Интенсивность частиц, создаваемых снарядами и взрывами. На настройке \""Уменьшенная\"" не отображаются некоторые более яркие частицы."
PKM_DebrisNumber,,Max. number of particles,Макс. количество частиц
PKM_DebrisNumber_Desc,,"The maximum amount of particles used by projectile trails, smoke and flames. Very low performance impact. Over 8,000 recommended.","Максимальное количество частиц дыма, огня и следов от снарядов. Слабо влияет на производительность. Рекомендуется более 8000."
PKM_Full,Menu,Full,Полная
PKM_Reduced,Menu,Reduced,Уменьшенная
PKM_FIREMODES,Menu,Weapon fire modes,Настройка режимов стрельбы
PKM_FIREMODES_DESC,Menu,Switch primary/secondary fire modes,Позволяет переключить основной/альтернативный режимы огня
PKM_SKILL0,Menu,Slumber,Грёзы
PKM_SKILL0_Desc,Menu,"Very low difficulty.
You receive 200% ammo from pickups.
Enemies deal 25% damage and have 50% health.
You can't use Black Tarot cards in this mode.","Очень низкая сложность.
Вы получаете 200% патронов из коробок. Враги наносят 25% урона, у них 50% здоровья. В этом режиме нельзя использовать Чёрное Таро."
PKM_SKILL1,Menu,Daydream,Дрёма
PKM_SKILL1_Desc,Menu,"Low difficulty.
You receive 120% ammo from pickups.
Enemies deal 50% damage and have 50% health.","Низкая сложность.
Вы получаете 120% патронов из коробок. Враги наносят 50% урона, у них 50% здоровья."
PKM_SKILL2,Menu,Insomnia,Бессонница
PKM_SKILL2_Desc,Menu,"Standard difficulty.
Default values for ammo amounts, monster damage, health and behavior.","Нормальная сложность.
Стандартные показатели боезапаса и силы врагов."
PKM_SKILL3,Menu,Nightmare,Кошмар
PKM_SKILL3_Desc,Menu,"High difficulty.
You receive 80% of ammo from pickups.
Enemies are more aggressive","Высокая сложность.
Вы получаете 80% патронов из коробок, а враги более агрессивны."
PKM_SKILL4,Menu,Trauma,Травма
PKM_SKILL4_Desc,Menu,"Very high difficulty.
You receive 60% of ammo from pickups.
Enemies are very aggressive and don't drop any souls.","Очень высокая сложность.
Вы получаете 60% патронов из коробок, враги значительно более агрессивны и не оставляют после себя душ."
